Plant Category,Seed Name,Average Precipitation per day,Average Temperature (2 m),Average Soil Temperature (0 to 6 cm),Average Sunshine Duration(s),Humidity(%),Rainfall Alert Maximum Rain (mm),Average Soil Moisture (0-3 cm)
Vegetable,Poivron Quadrato d'Asti Giallo,5.0,20.0,18.0,3600.0,60.0,20.0,0.4
Vegetable,Poivron California Wonder Orange,3.5,22.5,18.0,25000.0,60.0,50.0,0.25
Vegetable,Poivron mini bell chocolat,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Vegetable,Poivron Mini Bell Rouge,5.0,25.0,22.0,3600.0,50.0,20.0,0.4
Vegetable,Poivron Mini Bell Jaune,3.0,22.5,17.5,25200.0,70.0,15.0,0.4
Vegetable,Poivron Mini Bell Mix,5.0,20.0,18.0,6000.0,60.0,20.0,0.2
Vegetable,Poivron Orange Ariane,5.0,20.0,18.0,6000.0,60.0,50.0,0.3
Vegetable,Poivron Sucette de Hyères,5.0,20.0,18.0,3600.0,65.0,20.0,0.3
Vegetable,Poivron Yolo Wonder,5.0,22.0,18.0,6000.0,50.0,30.0,0.3
Vegetable,Poivron Long des Landes,3.5,22.5,18.2,28800.0,65.0,20.0,0.35
Vegetable,Chou Brocoli Vert Calabrais,5.0,18.0,15.0,3600.0,60.0,20.0,0.3
Vegetable,Chou brocoli à jets violets,3.0,18.0,15.0,24000.0,70.0,10.0,0.4
Vegetable,Chou Brocoli Violet du Cap,5.0,18.0,15.0,3600.0,70.0,20.0,0.3
Vegetable,Chicorée de Bruxelles Demi-Hâtive de Hollande,2.5,12.5,15.0,18000.0,70.0,20.0,0.3
Vegetable,Chicorée de Bruxelles Witloof de Bruxelles,2.0,12.0,10.0,3600.0,60.0,10.0,0.3
Vegetable,Chicorée de Bruxelles demi-hâtive de Malines,4.5,15.0,12.5,2250.0,60.0,25.0,0.30000000000000004
Vegetable,Chicorée de Bruxelles Macun,5.0,15.0,10.0,18000.0,60.0,20.0,0.3
Vegetable,Chicorée di Bruxelles,3.0,15.0,12.0,18000.0,70.0,10.0,0.3
Vegetable,Chou de Bruxelles Groninger,5.0,15.0,12.0,3600.0,70.0,25.0,0.25
Vegetable,Chou de Bruxelles de Rosny,5.0,15.0,12.0,18000.0,60.0,20.0,0.3
Vegetable,Courge Musquée d'Hiver de Provence (Winter Squash),3.0,18.0,15.0,3000.0,60.0,20.0,0.3
Vegetable,Courge Musquée Sucrine du Berry,5.0,20.0,18.0,18000.0,70.0,50.0,0.4
Vegetable,Courge Musquée Futsu Black,5.0,20.0,18.0,3600.0,50.0,50.0,0.3
Vegetable,Courge musquée longue de Nice,5.0,18.0,15.0,36000.0,70.0,15.0,0.4
Vegetable,Courge musquée à trompe d'albenga,3.0,21.0,17.5,2600.0,65.0,20.0,0.4
Vegetable,Courge de Siam,10.0,25.0,20.0,3600.0,70.0,50.0,0.3
Vegetable,Courge Musquée Honeynut,7.5,22.5,15.0,25200.0,70.0,20.0,0.4
Vegetable,Courge Musquée Violina,5.0,20.0,18.0,36000.0,70.0,20.0,0.3
Vegetable,Courge Musquée Butternut,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Cardon Argenté de Plainpalais,2.5,18.5,15.2,27000.0,60.0,20.0,0.35
Perennial,Cynara cardunculus,5.0,22.0,18.0,30000.0,60.0,30.0,0.4
Vegetable,Chou-Fleur Neckarperle,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Vegetable,Chou-fleur flora blanca,5.0,20.0,15.0,3600.0,70.0,20.0,0.3
Vegetable,Chou-fleur romanesco,3.0,15.0,17.5,25200.0,60.0,50.0,0.44999999999999996
Vegetable,Chou-fleur verde di macerata,5.0,18.0,15.0,3600.0,70.0,20.0,0.3
Vegetable,Chou-fleur Martinet,2.0,18.0,15.0,6000.0,70.0,20.0,0.4
Vegetable,Chou-fleur violet de Sicile,5.0,18.0,15.0,18000.0,70.0,20.0,0.4
Vegetable,Céleri rave monarch,5.0,20.0,18.0,30000.0,60.0,10.0,0.4
Vegetable,Céleri rave alba,5.0,18.0,15.0,3000.0,60.0,20.0,0.3
Vegetable,Céleri rave 'Merveille de Zwijndrecht',4.0,15.0,12.5,25200.0,60.0,12.5,0.30000000000000004
Vegetable,Céleri à couper pipe creuse de malines,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Vegetable,Céleri à couper à jets fins de huy,2.0,17.5,15.0,25000.0,70.0,17.5,0.4
Vegetable,Céleri à couper commun,5.0,18.0,15.0,18000.0,60.0,50.0,0.25
Tomato,Tomate Cerise Black Cherry,5.0,20.0,18.0,36000.0,60.0,20.0,0.3
Tomato,Tomate Cerise Calabash Rouge,3.5,21.5,17.5,2600.0,70.0,25.0,0.30000000000000004
Fruit,Tomate cerise jaune poire,5.0,20.0,18.0,3600.0,60.0,15.0,0.3
Vegetable,Tomate Cerise Rouge Poire,3.2,18.5,15.7,24000.0,65.0,10.0,0.25
Tomato,Tomate cerise en mélange,5.0,23.0,18.0,3000.0,60.0,20.0,0.4
Tomato,Tomate cerise jaune ronde,5.0,20.0,18.0,6000.0,60.0,50.0,0.3
Tomato,Tomate Cerise Zuckertraube,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Tomato,Tomate Cerise Jaune Cocktail Clémentine,5.0,20.0,15.0,3000.0,60.0,20.0,0.3
Tomato,Tomate Cerise Red Robin,5.0,25.0,18.0,3600.0,60.0,30.0,0.2
Tomato,Tomate Cerise Purple Bumble Bee,5.0,20.0,18.0,6000.0,70.0,50.0,0.3
Tomato,Cerise Rose Quartz Multiflora,7.5,22.5,17.5,25200.0,50.0,60.0,0.30000000000000004
Tomato,Tomate cerise japonaise basse,5.0,20.0,18.0,36000.0,60.0,30.0,0.3
Tomato,Cerise Yellow Submarine,5.0,20.0,18.0,12000.0,60.0,20.0,0.3
Tomato,Tomate Cerise Myriam,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Fruit,Tomate Cerise Groseille Petit Moineau,5.0,20.0,18.0,3000.0,70.0,20.0,0.3
Tomato,Tomate cerise tempête de sable,3.2,18.5,15.7,3200.0,65.0,50.0,0.25
Tomato,Tomate Cerise Vilma Cherry,5.0,20.0,18.0,36000.0,60.0,30.0,0.3
Tomato,Tomate Cerise Balconi Jaune,5.0,20.0,18.0,24000.0,60.0,20.0,0.4
Vegetable,Tomate Cerise Orangette,5.0,20.0,18.0,3600.0,60.0,20.0,0.4
Vegetable,Tomate cerise gardener's delight le sachet de 25 graines,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Tomato,Tomate Cerise Rose de Podlaki,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Tomato,Tomate Cerise Raisin Vert,5.0,22.0,18.0,3600.0,60.0,30.0,0.3
Tomato,Tomate Cerise Miel du Mexique,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Chervis,Le Sachet de +/- 2700 graines,5.0,20.0,18.0,3600.0,60.0,10.0,0.4
Vegetable,Mâche Coquille de Louviers,3.5,15.0,12.5,2000.0,60.0,15.0,0.4
Leafy vegetable,Mâche Verte de Cambrai,2.8,12.5,10.3,21600.0,75.0,15.0,0.25
Leafy green,Mâche de Comines,3.0,15.0,12.0,3600.0,70.0,10.0,0.3
Leafy vegetable,Mâche verte à coeur plein,3.5,15.0,11.5,2250.0,60.0,20.0,0.30000000000000004
Leafy Greens,Mâche Bigarrée de Huy,3.5,14.0,11.5,5.0,60.0,15.0,0.2
Vegetable,Mâche à Grosse Graine,5.0,20.0,18.0,6000.0,60.0,20.0,0.4
Leafy Vegetable,Mâche à Grandes Feuilles de Hollande,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Leafy vegetable,Mâche vit,2.0,15.0,11.5,19000.0,50.0,15.0,0.35
Vegetable,Chou Chinois Granaat,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Leafy vegetable,Pak choi taisai,5.0,20.0,15.0,3600.0,60.0,20.0,0.4
Leafy vegetable,Pak choi tatsoi,5.0,22.0,18.0,24000.0,70.0,20.0,0.4
Vegetable,Chou Chinois Sativa (Type Astuko),7.5,17.5,17.5,25200.0,70.0,20.0,35.0
Vegetable,Moutarde de Chine Rouge Red Giant,5.0,20.0,18.0,3000.0,60.0,20.0,0.25
Vegetable,Moutarde de Chine Metis Rouge,7.5,20.0,15.0,2600.0,50.0,20.0,0.25
Vegetable,Moutarde de Chine Green in Snow,3.5,20.0,15.0,20000.0,60.0,10.0,0.44999999999999996
Vegetable,Moutarde de Chine Golden Frills,5.0,20.0,18.0,28800.0,70.0,20.0,0.3
Annual,Claytone de Cuba ou Pourpier d'hiver,5.0,20.0,18.0,6000.0,70.0,20.0,0.3
Vegetable,Tomate Ananas Noire,5.0,20.0,18.0,3600.0,60.0,20.0,0.25
Tomato,Tomate Noire Russe Charboneuse,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Tomato,Tomate coeur de boeuf rose,5.0,20.0,18.0,36000.0,60.0,50.0,0.3
Tomato,Tomate German Gold,5.0,25.0,20.0,6000.0,60.0,50.0,0.4
Vegetable,Tomate Noire de Crimée,5.0,25.0,20.0,3600.0,60.0,50.0,0.3
Vegetable,Tomate Yellow Belgian,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Tomato,Tomate Rose de Berne,5.0,20.0,15.0,36000.0,60.0,20.0,0.3
Tomato,Tomate Olirose de St Domingue,5.0,25.0,20.0,3600.0,60.0,30.0,0.3
Tomato,Black Prince,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Tomato,Tomate Pamplemousse du Grand-père,5.0,22.0,18.0,3600.0,60.0,25.0,0.3
Vegetable,Tomate Green Zebra,5.0,20.0,18.0,3600.0,60.0,20.0,0.5
Tomato,Tomate Ida Gold,7.5,25.0,21.0,25200.0,60.0,40.0,0.25
Tomato,Evergreen,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Tomato,Tomate Jaune Saint Vincent,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Tomato Pepper,Tomate Poivron Jaune,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Tomato,Purple Calabash,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Tomato,Coeur de Boeuf Orange,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Vegetable,Tomate Grosse des Marais,3.0,25.0,20.0,25200.0,70.0,50.0,0.4
Tomato,Tomate Gregory Altaï,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Tomato,Tomate Lime Green,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Vegetable,Tomate Tigerella,5.0,22.0,18.0,6000.0,60.0,15.0,0.3
Vegetable,Tomate Ananas,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Vegetable,Tomate Prune Noire,10.0,20.0,18.0,3600.0,60.0,50.0,0.3
Vegetable,Tomate Brandywine,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Tomato,Tomate Valencia Orange,5.0,22.0,18.0,4000.0,60.0,50.0,0.2
Tomato,Black Zebra,5.0,22.0,18.0,6000.0,60.0,50.0,0.3
Tomato,Tomate Olivette Rose,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Vegetable,Tomate Coeur de Boeuf Blanche,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Tomato,Tomate Coeur de Boeuf Russian 117,7.5,22.5,17.5,25200.0,50.0,50.0,0.25
Tomato,Tomate Teton de Wépion,5.0,20.0,18.0,28800.0,60.0,30.0,0.3
Tomato,Tomate verte de Huy,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Tomato,Tomate Etoile Blanche d'Anvers,5.0,22.0,18.0,3600.0,60.0,15.0,0.3
Tomato,Tomate Canabec Rose,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Tomato,Cherokee Chocolate,5.0,20.0,18.0,36000.0,60.0,20.0,0.3
Vegetable,Tomate Blanche de Picardie,5.0,20.0,15.0,3600.0,55.0,20.0,0.4
Tomato,Tomate Big White Pink Stripes,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Vegetable,Concombre Grimpant Cyclanthère,5.0,25.0,22.0,3600.0,70.0,20.0,0.3
Vegetable,Concombre Lemon,5.0,22.0,18.0,6000.0,60.0,20.0,0.3
Vegetable,Concombre Rollison's Telegraph,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Fruit,Concombre du Kenya Kiwano,5.0,25.0,20.0,6000.0,70.0,20.0,0.3
Vegetable,Concombre le généreux,5.0,25.0,20.0,3600.0,60.0,20.0,0.4
Vegetable,Concombre vert long maraîcher,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Vegetable,Concombre Tanja,5.0,22.0,18.0,6000.0,60.0,20.0,0.25
Vegetable,Concombre Marketmore,5.0,20.0,18.0,3600.0,60.0,15.0,0.4
Vegetable,Concombre cocktail ou à confire mélothérie,3.0,20.0,18.0,3600.0,60.0,20.0,0.25
Vegetable,Concombre des Antilles,5.0,25.0,20.0,6000.0,70.0,50.0,0.3
Vegetable,Concombre Gele Tros,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Vegetable,Concombre Kaiser Alexander,5.0,25.0,20.0,3600.0,60.0,20.0,0.4
Vegetable,Concombre soo yoh long,7.5,22.5,17.5,25200.0,60.0,20.0,0.4
Vegetable,Concombre Melon Tortarello Baresse,5.0,20.0,18.0,28800.0,60.0,20.0,0.3
Vegetable,Concombre Vert Long de Chine,5.0,20.0,18.0,3600.0,70.0,20.0,0.4
Vegetable,Concombre Blanc Long Parisien,5.0,22.0,18.0,18000.0,70.0,10.0,0.25
Vegetable,Chicorée Frisée Wallonne,2.0,15.0,10.0,18000.0,70.0,20.0,0.3
Leafy Vegetable,Chicorée Frisée Grosse Pancalière,5.0,20.0,15.0,3000.0,70.0,20.0,0.3
Vegetable,Chicorée Frisée Grosse Pommant Seule,5.0,15.0,10.0,28800.0,60.0,20.0,0.2
Vegetable,Chicorée frisée de Ruffec,2.5,18.0,15.0,24000.0,70.0,20.0,0.25
Vegetable,Chicorée frisée fine de Louviers,3.0,19.0,15.0,24000.0,70.0,10.0,0.3
Vegetable,Chicorée Frisée de Namur,2.0,18.0,12.0,3600.0,70.0,10.0,0.3
Leafy vegetable,Chicorée scarole ronde verte à coeur plein,5.0,15.0,12.0,24000.0,70.0,20.0,0.35
Leafy Vegetable,Chicorée Scarole en Cornet d'Anjou,2.0,15.0,12.0,6000.0,70.0,10.0,0.3
Leafy vegetable,Chicorée Scarole Géante Maraîchère,5.0,20.0,18.0,18000.0,70.0,30.0,0.25
Legume,Haricot Nain Mangetout Rocbrun,7.5,20.0,17.5,25200.0,70.0,20.0,0.4
Vegetable,Haricot nain mangetout beurre dior,7.5,20.0,17.5,25200.0,50.0,20.0,0.25
Vegetable,Haricot Nain Beurre Helios,5.0,20.0,18.0,24000.0,60.0,20.0,0.3
Vegetable,Haricot nain à écosser langue de feu,5.0,20.0,15.0,3000.0,70.0,50.0,0.3
Bean,Haricot nain à écosser flageolet chevrier vert,5.0,20.0,18.0,3000.0,70.0,50.0,0.3
Legume,Haricot nain à écosser borlotto,5.0,20.0,18.0,3600.0,70.0,15.0,0.3
Legume,Haricot nain à écosser flageolet rouge,5.0,20.0,18.0,3600.0,50.0,20.0,0.25
Legume,Haricot nain à écosser Canadian Wonder,5.0,20.0,18.0,3000.0,60.0,20.0,0.3
Vegetable,Haricot nain à écosser flageolet blanc des Flandres,5.0,15.0,18.0,3600.0,60.0,20.0,0.25
Vegetable,Haricot Nain Filet Fin de Bagnol,3.5,20.0,15.0,25200.0,50.0,10.0,0.25
Vegetable,Haricot Nain Filet Morgane,5.0,20.0,18.0,3600.0,65.0,20.0,0.3
Legume,Haricot Nain Filet Cupidon,5.0,20.0,18.0,3600.0,50.0,20.0,0.4
Bean,Haricot Nain Filet Argus,3.5,20.0,25.0,25000.0,70.0,20.0,0.30000000000000004
Legume,Haricot Nain Mangetout Codair,5.0,20.0,15.0,6000.0,70.0,20.0,0.3
Vegetable,Haricot Nain Mangetout La Victoire,7.5,20.0,15.0,2250.0,70.0,35.0,0.25
Vegetable,Haricot Nain Mangetout Roi des Belges,3.5,20.0,17.5,25200.0,50.0,20.0,0.30000000000000004
Vegetable,Haricot Nain Mangetout Maxi,7.5,20.0,17.5,25200.0,60.0,20.0,0.25
Bean,Haricot Nain Mangetout Calvy,3.0,15.0,18.0,600.0,60.0,20.0,0.2
Vegetable,Haricot Nain Mangetout Reine des Pourpres,3.5,18.5,15.2,28800.0,65.0,20.0,0.25
Vegetable,Haricot Nain Mangetout Purple Teepee,7.5,20.0,17.5,25200.0,50.0,25.0,0.25
Legume,Pois nain à écosser hâtif de Louvain,3.0,20.0,15.0,2600.0,50.0,10.0,0.4
Legume,Pois nain à écosser merveille de kelvedon,5.0,20.0,15.0,3000.0,60.0,30.0,0.3
Vegetable,Pois Nain à Écosser d'Hiver Sima,5.0,20.0,15.0,24000.0,70.0,20.0,0.3
Legume,Pois nain à écosser douce provence,3.5,20.0,15.0,25200.0,55.0,20.0,0.30000000000000004
Legume,Pois Nain Mangetout Norli,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Vegetable,Carotte de Carentan,5.0,15.0,20.0,3600.0,50.0,20.0,0.3
Vegetable,Carotte hâtive d'amsterdam le sachet de +/- 2000 graines,3.5,17.5,14.0,25200.0,60.0,20.0,0.30000000000000004
Vegetable,Carotte hâtive - Oxhella,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Vegetable,Carotte hâtive milan,5.0,15.0,12.0,18000.0,70.0,20.0,0.3
Vegetable,Carotte Marché de Paris,2.0,20.0,15.0,24000.0,60.0,10.0,0.3
Vegetable,Carotte Dolciva,5.0,20.0,18.0,30000.0,60.0,10.0,0.25
Vegetable,Chrysanthemum greens,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Vegetable,Aubergine Blanche Ronde à Œufs,5.0,25.0,20.0,3600.0,60.0,50.0,0.25
Vegetable,Aubergine Longue Violette de Barbentane,5.0,23.0,18.0,6000.0,60.0,20.0,0.4
Vegetable,Aubergine Puso Purple Cluster,5.0,20.0,18.0,6000.0,70.0,100.0,0.3
Vegetable,Aubergine Bambino,2.0,20.0,18.0,6000.0,60.0,10.0,0.3
Vegetable,Aubergine Rosso Di Napoli,3.0,23.0,20.0,3600.0,60.0,20.0,0.3
Vegetable,Aubergine Rotonda Bianca Sfumata Di Rosa,7.5,25.0,20.0,25200.0,70.0,75.0,0.30000000000000004
Vegetable,Aubergine Listada de Gandia,5.0,25.0,20.0,18000.0,60.0,20.0,0.3
Vegetable,Aubergine Japanese Pickling,5.0,22.0,18.0,8000.0,70.0,15.0,0.35
Vegetable,Aubergine Skoutari,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Vegetable,Aubergine Blanche Longue de Dourga,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Vegetable,Aubergine Ronde de Valence,3.0,20.0,18.0,3600.0,60.0,20.0,0.4
Vegetable,Aubergine Impérial Black Beauty,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Annual,Ficoïde Glaciale,5.0,22.0,18.0,30000.0,70.0,20.0,0.4
Flower,Bleuet Bleu,5.0,20.0,18.0,6000.0,60.0,50.0,0.4
Flower,Bleuet en mélange,5.0,18.0,15.0,6000.0,60.0,20.0,0.2
Annual Flower,Capucine Naine En Mélange,5.0,20.0,18.0,3000.0,60.0,20.0,0.3
Flower,Capucine Naine Panachée,5.0,20.0,18.0,6000.0,70.0,20.0,0.4
Herb,Chardon Marie,5.0,20.0,18.0,6000.0,60.0,50.0,0.3
Annual Flower,Cléome Rose,5.0,22.0,18.0,6000.0,60.0,20.0,0.3
Flowering Plant,Chrysanthemum,7.5,22.5,17.5,3250.0,65.0,20.0,0.3
Flowering Plant,Coquelicot des Champs,5.0,22.0,18.0,3600.0,50.0,20.0,0.3
Annual Flower,Cosmos Sensation Picotée,3.0,18.0,20.0,6000.0,60.0,20.0,0.3
Legume,Haricot d'Espagne,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Immortelle à bractées,Le sachet de +/- 430 graines,5.0,22.0,17.0,18000.0,70.0,20.0,0.4
Flowering Plant,Ipomée en mélange,5.0,20.0,18.0,5000.0,70.0,20.0,0.3
Flowering Plant,Lavatera trimestris,5.0,20.0,18.0,36000.0,60.0,50.0,0.3
Flowering Plant,Limnanthes,5.0,20.0,18.0,6000.0,70.0,20.0,0.3
Annual,Lin Annuel Bleu,10.0,12.0,15.0,600.0,60.0,50.0,0.2
Annual Flower,Muflier,5.0,20.0,18.0,6000.0,50.0,20.0,0.3
Flowering Plant,Nicandra physalodes,5.0,20.0,18.0,18000.0,60.0,20.0,0.4
Flower,Nigelle de Damas,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Annual Flower,Pavot Rose Simple,5.0,20.0,17.0,36000.0,60.0,20.0,0.4
Flowering Plant,Pavot Planète Rouge du Jura,5.0,20.0,15.0,36000.0,60.0,20.0,0.3
Annual Flower,Pavot de Californie,2.0,20.0,18.0,6000.0,60.0,15.0,0.4
Flowering plant,Pied d'alouette bleu,3.5,20.0,17.5,26000.0,50.0,75.0,0.30000000000000004
Flower,Pois de senteur en mélange,5.0,18.0,15.0,18000.0,60.0,20.0,0.3
Herbaceous plant,Réséda odorant,5.0,20.0,18.0,24000.0,60.0,20.0,0.3
Annual Flower,Salpiglossis en mélange,4.0,18.0,15.0,5400.0,60.0,30.0,0.3
Tobacco,Tabac commun,5.0,20.0,15.0,600.0,50.0,20.0,0.3
Flower,Tagète Citron,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Annual Flower,Tagète Némagon,5.0,22.0,20.0,3000.0,60.0,20.0,0.3
Annual Flower,Oeillet d'Inde nain,5.0,20.0,15.0,6000.0,50.0,20.0,0.3
Flowering plant,Tournesol Nain Jaune,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Flower,Tournesol Mélange Décoratif,5.0,20.0,15.0,36000.0,65.0,20.0,0.3
Vegetable,Chou Fourrager Cavalier Rouge,5.0,15.0,12.0,3600.0,70.0,20.0,0.25
Vegetable,Cresson de Jardin,5.0,20.0,18.0,24000.0,60.0,20.0,0.3
Vegetable,Chénopode Multicolore,3.0,20.0,18.0,6000.0,60.0,15.0,0.3
Vegetable,Chénopode bon-henri,5.0,15.0,10.0,3000.0,70.0,50.0,0.3
Cucurbitacea,Gourde Amphore,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Vegetable,Gourde ou courge pèlerine en mélange le sachet de 12 graines,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Vegetable,Zucchetta Serpente di Sicilia,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Climbing Plant,Coloquinte Indian Mix,5.0,22.0,20.0,10000.0,60.0,20.0,0.3
Vegetable,Coloquintes en mélange,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Maize,Maïs à grains pop corn 'cinema',5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Corn,Maïs Pop Corn Fraise,5.0,25.0,20.0,36000.0,60.0,50.0,0.3
Green Manure,Moutarde blanche,10.0,20.0,15.0,20000.0,55.0,30.0,0.30000000000000004
Engrais vert,Sorgho du Soudan,7.5,25.0,30.0,3250.0,70.0,75.0,0.4
Green manure,Lin bleu,5.0,16.0,14.0,18000.0,60.0,20.0,0.25
Legume,Lotus corniculatus,5.0,20.0,15.0,3600.0,50.0,20.0,0.3
Flowering and Green Manure,Mélange Mellifère et Engrais Vert,5.0,20.0,18.0,3600.0,70.0,50.0,0.3
Green Manure,Epinard (Engrais Vert),8.0,18.0,15.0,18000.0,60.0,20.0,0.25
Radis fourrager (engrais vert),Radis fourrager,3.5,15.0,12.5,24000.0,70.0,20.0,0.4
Green manure,Vesce d'été,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Legume,Luzerne (Engrais Vert),5.0,20.0,18.0,24000.0,60.0,50.0,0.3
Green Manure,Trèfle Incarnat,5.0,15.0,12.0,18000.0,70.0,20.0,0.25
Green manure,Phacelia,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Cover Crop,Lupin Bleu,5.0,18.0,15.0,6000.0,60.0,20.0,0.2
Fast-growing green manure,Mélange Croissance Rapide (Engrais Vert),8.2,20.5,18.3,28800.0,65.0,30.0,0.25
Cover Crop,Sarrasin (Engrais Vert),5.0,18.0,15.0,18000.0,65.0,20.0,0.3
Green manure,Mélange spécial sol lourd,10.0,25.0,20.0,36000.0,60.0,50.0,0.3
Green Manure,Trèfle Blanc,5.0,20.0,15.0,18000.0,70.0,20.0,0.3
Legume,Sainfoin (Engrais Vert),5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Green Manure,Féverole d'hiver,5.0,15.0,10.0,18000.0,50.0,20.0,0.3
Green manure,Seigle,7.5,15.0,12.5,84000.0,50.0,20.0,0.4
Winter Cover Crop,Mélange Spécial Hiver (Engrais Vert),5.0,10.0,8.0,36000.0,70.0,20.0,0.3
Green Manure,Vesce d'hiver,5.0,15.0,10.0,30000.0,60.0,20.0,0.3
Plant,Chataigne de Terre,5.0,20.0,18.0,12000.0,60.0,20.0,0.3
Leafy vegetable,Laitue Romaine Ballon,3.0,18.0,15.0,3600.0,70.0,20.0,0.3
Leafy vegetable,Laitue asperge (laitue romaine celtuce),5.0,20.0,18.0,3000.0,70.0,20.0,0.3
Vegetable,Laitue Romaine Chicon des Charentes,5.0,20.0,15.0,18000.0,70.0,20.0,0.3
Vegetable,Laitue romaine rouge d'hiver,5.0,15.0,12.0,18000.0,70.0,20.0,0.3
Lettuce,Laitue Romaine Queue de Truite (Chicon Panaché),3.5,17.5,17.5,2500.0,65.0,20.0,0.25
Lettuce,Laitue Romaine Little Leprechaun,5.0,15.0,12.0,3600.0,70.0,20.0,0.25
Lettuce,Laitue romaine verte maraîchère,3.0,20.0,15.0,5000.0,70.0,10.0,0.4
Vegetable,Chou frisé/kale westlandse winter,3.5,14.0,11.5,20000.0,55.0,10.0,0.30000000000000004
Leafy Vegetable,Chou Frisé/Kale Grand Vert du Nord,2.0,12.0,10.0,18000.0,70.0,10.0,0.3
Vegetable,Chou Palmier Kale Noir de Toscane,5.0,15.0,12.0,3600.0,60.0,40.0,0.3
Vegetable,Chou frisé/Kale Red Ursa,5.0,15.0,10.0,18000.0,50.0,100.0,0.3
Vegetable,Chou frisé/Kale rouge,2.0,16.0,14.0,18000.0,50.0,15.0,0.3
Vegetable,Chou beurré de Jalhay,5.0,15.0,12.0,18000.0,70.0,20.0,0.3
Vegetable,Chou-rave delikatess blanc,5.0,18.0,15.0,6000.0,65.0,20.0,0.3
Vegetable,Chou-rave délikatess bleu,5.0,15.0,12.0,6000.0,50.0,20.0,0.3
Vegetable,Chou-rave superschmelz,5.0,18.0,15.0,3600.0,70.0,20.0,0.3
Vegetable,Chou-rave Dyna,5.0,15.0,18.0,36000.0,60.0,20.0,0.3
Vegetable,Chou-rave Azur Star,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Vegetable,Chou-rave blaril,5.0,15.0,12.0,18000.0,60.0,20.0,0.3
Lentils,Lentilles Beluga,5.0,25.0,20.0,3600.0,65.0,20.0,0.3
Lettuce,Laitue Batavia Dorée de Printemps,5.0,18.0,15.0,3600.0,70.0,20.0,0.4
Leafy vegetable,Laitue Batavia Blonde de Paris,5.0,20.0,18.0,3600.0,60.0,20.0,0.4
Vegetable,Laitue Batavia Pasquier,5.0,18.0,15.0,3600.0,60.0,20.0,0.2
Vegetable,Laitue Batavia Reine des Glaces,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Leafy vegetable,Laitue batavia rouge grenobloise,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Lettuce,Laitue Batavia Beaujolaise,5.0,20.0,18.0,3600.0,60.0,15.0,0.3
