Plant Category,Seed Name,Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Soil depth for sowing (inches),Plant name,water unit
Vegetable,Oignon Blanc Premier,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,"oignon blanc premier
le sachet de +/- 600 graines",
Vegetable,Oignon Rouge d'Abbeville,60.0,"[""NPK 10-10-10"",""Compost""]",5.0,0.5,"oignon rouge d'abbeville
le sachet de +/- 600 graines",
Biennial Root Vegetable,Panais de Guernesey,48.0,"[""Compost"",""Well-rotted manure""]",4.0,0.5,panais de guernesey,
Vegetable,Panais Tender and True,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,panais tender and true,
Vegetable,Panais Long Turga,48.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4.0,0.5,panais long turga,
Vegetable,Panais Rond Hâtif,48.0,"[""Compost"",""Organic fertilizer""]",4.0,1.0,panais rond hâtif,
Vegetable,Pois à Rames à Cosse Violette Blauwschokkers,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,"pois à rames à cosse violette blauwschokkers
le sachet de +/- 280 graines",
Legume,Pois à rames à écosser serpette de Malines,48.0,"[""NPK fertilizers"",""Compost""]",5.0,2.0,"pois à rames à écosser serpette de malines
le sachet de +/- 300 graines",
Vegetable,Pois à rames à écosser senator,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,2.0,"pois à rames à écosser senator
le sachet de +/- 300 graines",
Legume,Pois à rames à écosser téléphone,48.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",5.0,2.0,"pois à rames à écosser téléphone
le sachet de +/- 300 graines",
Legume,Pois à rames à écosser hâtif de mai,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,"pois à rames à écosser hâtif de mai
le sachet de +/- 300 graines",
Courge,Jack Be Little,60.0,"[""NPK 10-10-10"",""Compost"",""Organic Fertilizer""]",5.0,1.5,"courge jack be little
le sachet de 12 graines",
Vegetable,Courge Jack O'Lanterne,48.0,"[""NPK"",""Compost""]",4.0,2.0,"courge jack o'lanterne
le sachet de 12 graines",
Vegetable,Courge Lady Godiva à graines nues,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,"courge lady godiva à graines nues
le sachet de 12 graines",
Vegetable,Courge Patidou Sweet Dumpling,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,"courge patidou sweet dumpling
le sachet de 12 graines",
Vegetable,Courge Pomme d'Or,48.0,"[""Organic compost"",""Liquid fertilizer""]",2.0,2.0,"courge pomme d'or
le sachet de 12 graines",
Vegetable,Courge Spaghetti - Le Sachet de 12 Graines,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4.0,2.0,"courge spaghetti
le sachet de 12 graines",
Vegetable,Courge Melonnette Jaspée de Vendée,48.0,"[""Organic compost"",""All-purpose fertilizer""]",4.0,1.0,"courge melonnette jaspée de vendée
le sachet de 12 graines",
Vegetable,Courge Royal Acorn,48.0,"[""NPK"",""Compost""]",4.0,2.0,"courge royal acorn
le sachet de 12 graines",
Courge,Baby Boo,48.0,"[""NPK 10-10-10"",""Compost""]",3.0,1.0,"courge baby boo
le sachet de 12 graines",h
Vegetable,Courges en mélange,48.0,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4.0,2.0,"courges en mélange
le sachet de 12 graines",
Vegetable,Courge Delicata (Sweet Potato),48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,"courge delicata (sweet potato)
le sachet de 12 graines",
Vegetable,Ail Chinois,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.5,1.5,ail chinois,
Herb,Angélique,48.0,"[""Compost"",""Organic fertilizer""]",6.0,0.2,angélique,
Herb,Carvi,48.0,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4.0,0.5,"carvi
le sachet de +/- 360 graines",
Herb,Ciboulette Commune,48.0,"[""Nitrogen-based fertilizers"",""Organic compost""]",5.0,0.375,ciboulette commune,
Herb,Fenouil Commun,48.0,"[""NPK"",""Compost""]",4.0,0.5,"fenouil commun
le sachet de +/- 110 graines",
Vegetable,Fenouil Bronze,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.25,"fenouil bronze
le sachet de +/- 110 graines",
Herb,"Menthe Verte, Type Marocaine",48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"menthe verte, type marocaine",
Herb,Origanum vulgare,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,0.25,origan commun,
Herb,Oseille Commune,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,0.5,"oseille commune
le sachet de +/- 500 graines",
Herb,Oseille Sanguine,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"oseille sanguine
le sachet de +/- 500 graines",
Herb,Cochléaire officinale,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"cochléaire officinale
le sachet de +/- 890 graines",
Herb,Roquette Sauvage,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,"roquette sauvage
le sachet de +/- 1920 graines",
Herb,Sarriette des montagnes,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,sarriette des montagnes,
Herb,Sauge Officinale,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,sauge officinale,
Herb,Thym ordinaire,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.2,"thym ordinaire
le sachet de +/- 770 graines",
Herb,Absinthe,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4.0,0.5,absinthe,
Perennial,Verbascum thapsus,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.25,bouillon blanc,
Perennial,Guimauve,48.0,"[""Organic compost"",""Fish emulsion""]",4.0,0.5,guimauve,
Herb,Valériane officinale,48.0,"[""Organic compost"",""Fish emulsion""]",4.0,0.5,"valériane officinale
le sachet de +/- 440 graines",
Herb,Ciboule,24.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,ciboule,
Herb,Cerfeuil Vivace,24.0,"[""Organic compost"",""Fish emulsion""]",4.0,0.5,"cerfeuil vivace
le sachet de 10 graines",
Herb,Livèche,48.0,"[""Compost"",""Organic Liquid Fertilizer""]",4.0,0.5,livèche,
Perennial Herb,Rue Bigarrée,48.0,"[""Organic Compost"",""Liquid Seaweed Fertilizer""]",4.0,0.5,rue bigarrée,
Vegetable,Fenouil Sauvage,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.25,"fenouil sauvage
le sachet de +/- 110 graines",
Herb,Romarin,72.0,"[""Nitrogen-based fertilizer"",""Organic compost""]",6.0,0.2,romarin,d
Herb,Helichryse ou Plante Curry,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,"helichryse ou plante curry
le sachet de ±1000 graines",
Herb,Verveine Officinale,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,verveine officinale,
Perennial herb,Ail des ours,48.0,"[""Organic compost"",""Fish emulsion""]",4.0,1.0,ail des ours,
Herb,Ashwagandha,48.0,"[""Organic compost"",""Bone meal""]",4.0,0.5,ashwagandha,
Flower,Grande Ancolie,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,grande ancolie,
Flower,Coquelourde Rouge,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,coquelourde rouge,
Flower,Julienne des Dames Rose,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.2,"julienne des dames rose
le sachet de ±250 graines",
Flowering Plant,Lunaire ou Monnaie du Pape,48.0,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",4.0,0.5,lunaire ou monnaie du pape,
Flowering Plant,Lupin en mélange,48.0,"[""NPK"",""Compost""]",4.0,1.0,lupin en mélange,
Flowering plant,Mauve Mauritania,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,mauve mauritania,h
Perennial Flower,Pavot d'Islande,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.25,"pavot d'islande
le sachet de +/- 770 graines",
Perennial,Phlomis Jaune,48.0,"[""Organic compost"",""Slow-release fertilizer""]",8.0,0.25,"phlomis jaune
le sachet de +/- 40 graines",
Perennial,Pois Vivace,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,1.0,pois vivace,
Perennial,Polemonium Bleu,36.0,"[""NPK 10-10-10"",""Organic compost""]",7.0,0.25,polemonium bleu,
Perennial,Silene dioica,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.4,silène dioïque,
Herb,Tanaisie Crispée,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,tanaisie crispée,
Herb,Verveine hastée,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,verveine hastée,
Herb,Grande Camomille,48.0,"[""NPK 20-20-20"",""Organic compost""]",4.0,0.2,grande camomille,
Herb,Lavande Officinale,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"lavande officinale
le sachet de +/- 370 graines",
Herbaceous plant,Sauge des prés,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"sauge des prés
le sachet de +/- 210 graines",
Perennial,Digitale Pourpre,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.2,digitale pourpre,
Flowering plant,Pensée sauvage,60.0,"[""NPK 20-20-20"",""Organic compost""]",5.0,0.25,pensée sauvage,
Flower,Oeillet Rainbow Loveliness,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,oeillet rainbow loveliness,h
Perennial,Gaillarde vivace,84.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,0.75,gaillarde vivace,d
Grass,Gazon d'Espagne,12.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,gazon d'espagne,
Perennial,Asphodèle - Baton de Jacob,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,1.0,asphodèle - baton de jacob,
Perennial Flower,Oeillet des Chartreux,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,oeillet des chartreux,
Flowering Plant,Reseda luteola,24.0,"[""NPK"",""Compost""]",4.0,0.5,réséda des teinturiers,
Flowering plant,"Grémil des teinturiers ou ""violet de Tokyo""",48.0,"[""NPK fertilizer"",""Compost""]",5.0,0.5,"grémil des teinturiers ou ""violet de tokyo""",
Wildflower,Caille-lait ou gaillet jaune,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,0.30000000000000004,"caille-lait ou gaillet jaune
le sachet de ±540 graines",
Perennial Flower,Monarde Ponctuée,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"monarde ponctuée
le sachet de ± 180 graines",
Flowering Plant,Rose Trémière Noire,60.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,1.5,"rose trémière noire
le sachet de ± 50 graines",
Fruit,Physalis Cerise de Terre,48.0,"[""NPK"",""Compost""]",4.0,0.5,"physalis cerise de terre
le sachet de +/- 40 graines",
Fruit,Physalis Alkekenge Jaune,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,"physalis alkekenge jaune
le sachet de +/- 40 graines",
Vegetable,Physalis Tomatillo,48.0,"[""NPK 12-12-12"",""Compost"",""Fish emulsion""]",4.0,0.5,"physalis tomatillo
le sachet de +/- 40 graines",
Vegetable,Cornichon amélioré de bourbonne,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,2.0,"cornichon amélioré de bourbonne
le sachet de 20 graines",
Vegetable,Cornichon Petit Vert de Paris,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",2.0,1.0,"cornichon petit vert de paris
le sachet de 20 graines",
Vegetable,Cornichon Vert Fin de Meaux,24.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,1.0,"cornichon vert fin de meaux
le sachet de 20 graines",
Herbaceous plant,Plantain Corne de Cerf,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,plantain corne de cerf,
Cucurbita,Potiron Bleu de Hongrie,48.0,"[""NPK"",""Compost""]",2.0,1.0,"potiron bleu de hongrie
le sachet de 12 graines",
Potiron buttercup,Le sachet de 12 graines,48.0,"[""abx"",""afn""]",4.0,2.0,"potiron buttercup
le sachet de 12 graines",h
Cucurbita,Potiron Giraumon Turban Turc,60.0,"[""NPK 10-10-10"",""Compost""]",5.0,1.0,"potiron giraumon turban turc
le sachet de 12 graines",
Vegetable,Potiron Hubbard Bleu,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,"potiron hubbard bleu
le sachet de 12 graines",
Vegetable,Potiron Quintal Jaune,48.0,"[""Compost"",""Organic fertilizer""]",4.0,2.0,"potiron quintal jaune
le sachet de 12 graines",
Vegetable,Potiron Rouge Vif d'Etampes,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,2.0,"potiron rouge vif d'etampes
le sachet de 12 graines",
Vegetable,Potiron Vert Olive,48.0,"[""Compost"",""Organic Nitrogen"",""Phosphorus""]",4.0,1.0,"potiron vert olive
le sachet de 12 graines",
Vegetable,Potiron Marina di Chiogga,48.0,"[""Organic compost"",""Nitrogen-based fertilizer""]",4.0,2.0,"potiron marina di chiogga
le sachet de 12 graines",
Vegetable,Potiron Zapallito del Tronco,24.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,"potiron zapallito del tronco
le sachet de 12 graines",
Vegetable,Potiron Golden Hubbard,48.0,"[""NPK 10-10-10"",""Compost"",""Manure""]",4.0,2.0,"potiron golden hubbard
le sachet de 12 graines",
Vegetable,Potiron Giant Atlantic,48.0,"[""NPK 10-10-10"",""Compost"",""Manure""]",4.0,2.0,"potiron giant atlantic
le sachet de 12 graines",
Vegetable,Potiron Pink Jumbo Banana,48.0,"[""NPK Fertilizer"",""Compost""]",4.0,2.0,"potiron pink jumbo banana
le sachet de 12 graines",
Vegetable,Potiron Tristar Triamble,48.0,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4.0,2.0,"potiron tristar triamble
le sachet de 12 graines",
Vegetable,Potiron Galleux d'Eysines,48.0,"[""NPK"",""Compost""]",2.0,2.0,"potiron galleux d'eysines
le sachet de 12 graines",
Annual Flowering Plant,Pourpier d'été doré,24.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"pourpier d'été doré
le sachet de +/- 1000 graines",
Flowering plant,Pourpier d'été vert,48.0,"[""All-purpose fertilizer"",""Organic compost""]",4.0,0.2,"pourpier d'été vert
le sachet de +/- 1000 graines",
Vegetable,Radis Rond Écarlate Sora,24.0,"[""NPK fertilizer"",""Organic compost""]",2.0,0.5,"radis rond écarlate sora
le sachet de +/- 510 graines",
Vegetable,Radis Cherry Belle,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,"radis cherry belle
le sachet de +/- 470 graines",
Vegetable,Radis Chandelle de Glace,72.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",3.0,1.0,"radis chandelle de glace
le sachet de +/- 470 graines",
Vegetable,Radis Flamboyant 3,24.0,"[""Nitrogen-based"",""Phosphorus-based""]",2.0,1.0,"radis flamboyant 3
le sachet de +/- 470 graines",
Vegetable,Radis French Breakfast 2,24.0,"[""NPK 10-10-10"",""Compost""]",2.0,0.5,"radis french breakfast 2
le sachet de +/- 470 graines",
Vegetable,Radis Chandelle de Feu,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.5,0.5,"radis chandelle de feu
le sachet de +/- 280 graines",
Vegetable,Radis Daikon 'Minowase Summer Cross',60.0,"[""Nitrogen-based fertilizers"",""Phosphorous-based fertilizers""]",5.0,0.75,"radis daikon ""minowase summer cross""
le sachet de +/- 130 graines",d
Vegetable,Radis en mélange,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,"radis en mélange
le sachet de +/- 370 graines",
Vegetable,Radis National 3,24.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",2.0,0.5,"radis national 3
le sachet de +/- 470 graines",
Vegetable,Radis jaune helios,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",2.0,1.0,"radis jaune helios
le sachet de +/- 280 graines",
Vegetable,Chou Cabus Rouge de Langedijk,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4.0,0.5,"chou cabus rouge de langedijk
le sachet de +/- 260 graines",
Vegetable,Chou cabus rouge rodynda,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,"chou cabus rouge rodynda
le sachet de +/- 70 graines",
Vegetable,Chou Cabus Rouge Amarant,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,0.5,"chou cabus rouge amarant
le sachet de +/- 80 graines",
Tomato,Tomate potager de Vilvorde,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,"tomate potager de vilvorde
le sachet de 25 graines",
Tomato,Tomate de Bérao,12.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,"tomate de bérao
le sachet de 25 graines",
Vegetable,Tomate Cornue des Andes,24.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.5,"tomate cornue des andes
le sachet de 25 graines",
Vegetable,Tomate géante d'orembourg,48.0,"[""NPK"",""Compost""]",4.0,0.5,"tomate géante d'orembourg
le sachet de 25 graines",
Tomato,Tomate Merveille des Marchés,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,"tomate merveille des marchés
le sachet de 25 graines",
Vegetable,Tomate Monda,48.0,"[""NPK fertilizers"",""Organic compost""]",2.0,0.5,"tomate monda
le sachet de 25 graines",
Tomato,Tomate Moneymaker,60.0,"[""NPK fertilizers"",""Organic compost""]",5.0,0.75,"tomate moneymaker
le sachet de 25 graines",
Tomato,Roma,48.0,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4.0,0.5,"tomate roma
le sachet de 25 graines",
Tomato,Tomate Saint Pierre,48.0,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4.0,0.5,"tomate saint pierre
le sachet de 25 graines",
Vegetable,Tomate Burbank,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.5,"tomate burbank
le sachet de 25 graines",
Tomato,Tomate Marmande,48.0,"[""Nitrogen"",""Phosphorous"",""Potassium""]",4.0,0.25,"tomate marmande
le sachet de 25 graines",
Tomato,Sasha Altaï,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,"tomate sasha altaï
le sachet de 25 graines",
Tomato,Prince Borghese,48.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,0.5,"tomate prince borghese
le sachet de 25 graines",
Tomato,Tomate Joyau d'Idaho,24.0,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",2.0,0.5,"tomate joyau d'idaho
le sachet de 25 graines",
Tomato,Tomate Rouge Gloire de Versailles,48.0,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4.0,0.5,"tomate rouge gloire de versailles
le sachet de 25 graines",
Tomato,Tomate Belle de Lorraine,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.5,0.5,"tomate belle de lorraine
le sachet de 25 graines",
Tomato,Voyage,24.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",2.0,2.0,"tomate voyage
le sachet de 25 graines",
Vegetable,Tomate Téton de Vénus,60.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,0.75,"tomate téton de vénus
le sachet de 25 graines",
Tomato,Tomate Suzy,48.0,"[""NPK fertilizer"",""Organic compost""]",2.0,0.5,"tomate suzy
le sachet de 25 graines",
Tomato,Matina,24.0,"[""NPK fertilizer"",""Compost""]",2.0,1.0,"tomate matina
le sachet de 25 graines",
Vegetable,Tomate Triomphe de Liège,24.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.5,"tomate triomphe de liège
le sachet de 25 graines",
Tomato,Tomate Merveille des Serres,48.0,"[""NPK 10-10-10"",""Organic compost""]",2.0,0.5,"tomate merveille des serres
le sachet de 25 graines",
Tomato,Tomate Belgian Farmers,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,"tomate belgian farmers
le sachet de 25 graines",
Vegetable,Tomate Stupice,48.0,"[""NPK 10-10-10"",""Compost""]",2.0,0.5,"tomate stupice
le sachet de 25 graines",
Vegetable,Tomate Rouge de Namur,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,"tomate rouge de namur
le sachet de 25 graines",
Vegetable,Tomate Charnue de Huy,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,"tomate charnue de huy
le sachet de 25 graines",
Tomato,Tomate Prolifique de Falisolle,24.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",2.0,1.0,"tomate prolifique de falisolle
le sachet de 25 graines",h
Tomato,Tomate Rouge Glacier,48.0,"[""Organic compost"",""NPK fertilizer""]",5.0,0.5,"tomate rouge glacier
le sachet de 25 graines",
Tomato,Tomate reine des hâtives,24.0,"[""10-10-10"",""15-15-15""]",4.0,1.0,"tomate reine des hâtives
le sachet de 25 graines",
Fruit,Tomate Saint Jean d'Angely,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,0.5,"tomate saint jean d'angely
le sachet de 25 graines",
Tomato,Tomate Rouge Corma (Lignée 1 de Gembloux),48.0,"[""NPK"",""Compost"",""Manure""]",5.0,0.75,"tomate rouge corma (lignée 1 de gembloux)
le sachet de 25 graines",
Tomato,Tomate Rouge Gloire de Malines,24.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,"tomate rouge gloire de malines
le sachet de 25 graines",
Vegetable,Tomate Rouge Joffre,48.0,"[""NPK"",""Compost""]",4.0,0.5,"tomate rouge joffre
le sachet de 25 graines",
Tomato,Tomate Chemin Rouge,24.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",2.0,1.0,"tomate chemin rouge
le sachet de 25 graines",
Tomato,Tomate Rouge Anna Russian,24.0,"[""NPK"",""Organic compost""]",2.0,0.5,"tomate rouge anna russian
le sachet de 25 graines",
Vegetable,Rhubarbe Rouge,48.0,"[""Compost"",""Manure""]",4.0,1.0,rhubarbe rouge,
Vegetable,Céleri à côtes blanc pascal,48.0,"[""NPK 10-10-10"",""Organic compost""]",3.0,0.25,"céleri à côtes blanc pascal
le sachet de +/- 380 graines",
Vegetable,Céleri à côtes vert d'elne,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",5.0,0.30000000000000004,"céleri à côtes vert d'elne
le sachet de +/- 380 graines",
Vegetable,Céleri à côtes violettes,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"céleri à côtes violettes
le sachet de +/- 380 graines",
Vegetable,Céleri géant doré,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"céleri géant doré
le sachet de +/- 200 graines",
Vegetable,Céleri à côtes tall utah,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"céleri à côtes tall utah
le sachet de +/- 380 graines",
Vegetable,Laitue pommée d'hiver de Trémont,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,"laitue pommée d'hiver de trémont
le sachet de +/- 700 graines",
Leafy Vegetable,Laitue à Couper Verte d'Hiver,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.2,"laitue à couper verte d'hiver
le sachet de +/- 500 graines",
Vegetable,Salsifis Blanc Amélioré,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,salsifis blanc amélioré,
Vegetable,Chou de Milan de Pontoise,60.0,"[""NPK 10-10-10"",""Compost""]",5.0,0.75,"chou de milan de pontoise
le sachet de +/- 250 graines",
Vegetable,Chou de Milan Plainpalais,48.0,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4.0,0.5,"chou de milan plainpalais
le sachet de +/- 250 graines",
Vegetable,Chou de Milan Bloemendaalse Gele,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"chou de milan ""bloemendaalse gele""
le sachet de +/- 250 graines",
Vegetable,Chou de Milan de Lorient,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,"chou de milan de lorient
le sachet de ± 90 graines",
Vegetable,Scorsonère Noir Géant de Russie,48.0,"[""Organic Compost"",""Fish Emulsion""]",4.0,1.0,scorsonère noir géant de russie,
Legume,Haricot à Rames Mangetout à Cosses Violettes - Blauhilde,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,2.0,"haricot à rames mangetout à cosses violettes - blauhilde
le sachet de +/- 120 graines",
Legume,Haricot à rames hâtif neckarkönigin,48.0,"[""Organic compost"",""All-purpose fertilizer""]",2.0,1.0,"haricot à rames hâtif neckarkönigin
le sachet de +/- 120 graines",
Climbing Bean,Haricot Mangetout à Rames Neckargold,48.0,"[""Organic Fertilizer"",""Nitrogen Fertilizer""]",2.0,2.0,"haricot mangetout à rames neckargold
le sachet de +/- 140 graines",
Legume,Haricot à Rames Mangetout de Malines,36.0,"[""NPK"",""Compost""]",3.0,1.5,"haricot à rames mangetout de malines
le sachet de +/- 120 graines",
Legume,Haricot à rames mangetout princesse du pévèle,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,"haricot à rames mangetout princesse du pévèle
le sachet de +/- 120 graines",
Climbing bean,Haricot à rames mangetout beurre Sunshine,48.0,"[""Compost"",""Organic nitrogen fertilizer""]",2.5,1.0,"haricot à rames mangetout beurre ""sunshine""
le sachet de +/- 120 graines",
Legume,Haricot à rames mangetout (à couper) beurre 'golden gate',24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,"haricot à rames mangetout (à couper) beurre ""golden gate""
le sachet de +/- 120 graines",
Legume,Haricot à rames mangetout vigneronne,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,2.0,"haricot à rames mangetout vigneronne
le sachet de +/- 150 graines",
Legume,Haricot à rames mangetout fortex,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,2.0,"haricot à rames mangetout fortex
le sachet de +/- 120 graines",
Vegetable,Haricot à rames mangetout trebona,24.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4.0,2.0,"haricot à rames mangetout trebona
le sachet de +/- 120 graines",
Haricot à rames mangetout,Helda type Sabre,48.0,"[""ABX fertilizer"",""AFN fertilizer""]",4.0,2.0,"haricot à rames mangetout helda type sabre
le sachet de +/- 100 graines",h
Vegetable,Pois à rames mangetout à cosses jaunes Saint Désirat,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",5.0,2.0,"pois à rames mangetout à cosses jaunes saint désirat
le sachet de +/- 300 graines",
Vegetable,Pois à rames Mangetout Heraut,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,2.0,"pois à rames mangetout heraut
le sachet de +/- 300 graines",
Legume,Soja Edamame,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,soja edamame,
